indice_tiempo,nivel_general,alimentos_bebidas_no_alcoholicas,bebidas_alcoholicas_tabaco,prendas_vestir_calzado,vivienda_agua_electricidad_otros_combustibles,equipamiento_mantenimiento_hogar,salud,transporte,informacion_comunicacion,recreacion_cultura,educacion,restaurantes_hoteles,seguros_servicios_financieros,cuidado_personal_proteccion_social_otros,estacionales,regulados,resto
2022-02-01,128.59,132.39,131.04,129.1,123.7,136.5,129.7,124.36,120.24,126.49,115.82,144.92,124.59,125.08,128.59,142.13,117.11
2022-03-01,136.12,139.95,137.36,141.34,131.69,146.38,136.97,129.03,123.98,129.37,141.33,149.29,133.23,130.32,136.12,144.96,129.44
2022-04-01,143.28,148.57,142.52,153.09,136.81,150.43,144.07,139.06,128.67,136.54,149.01,155.9,138.13,137.0,143.28,154.36,135.1
2022-05-01,151.18,155.91,149.34,161.15,145.73,161.29,154.41,145.28,137.25,140.95,151.66,165.01,141.6,146.33,151.18,154.19,142.16
2022-06-01,158.92,164.46,158.35,170.09,153.59,173.77,167.06,151.29,139.07,145.5,154.99,174.13,145.44,153.73,158.92,163.93,150.25
2022-07-01,171.1,177.07,171.24,186.13,164.49,184.34,175.63,156.04,149.71,164.8,166.33,195.6,151.64,167.64,171.1,188.73,156.64
2022-08-01,181.72,189.56,182.64,203.04,171.37,199.56,191.38,164.04,155.88,173.15,175.81,206.39,162.59,179.65,181.72,197.7,166.72
2022-09-01,191.95,202.96,200.88,222.01,181.6,210.95,194.23,178.52,160.61,182.47,177.4,214.75,171.52,190.22,191.95,214.91,170.72
2022-10-01,205.31,217.09,213.76,235.49,192.12,224.84,211.48,185.72,172.6,193.86,201.25,234.68,179.09,199.59,205.31,230.1,188.6
2022-11-01,217.2,226.29,227.63,243.88,215.95,237.31,215.49,196.26,179.11,207.63,203.51,248.5,193.62,208.14,217.2,240.71,200.7
2022-12-01,229.69,236.84,244.51,259.99,229.62,253.1,228.99,203.27,182.67,215.39,221.04,270.81,207.0,219.84,229.69,257.74,210.89
2023-01-01,246.41,251.38,259.81,266.0,243.45,265.87,242.21,225.89,204.85,237.47,222.32,302.17,226.0,234.24,246.41,301.96,224.73
2023-02-01,261.19,270.64,274.63,276.66,264.18,278.53,258.76,229.58,210.69,258.09,231.22,319.93,249.43,246.04,261.19,311.16,235.96
2023-03-01,279.75,295.31,296.56,304.65,280.94,293.57,276.52,243.98,218.61,262.56,284.86,332.78,272.72,263.64,279.75,316.43,263.48
2023-04-01,301.46,326.09,311.39,333.33,299.04,320.86,287.5,263.8,238.28,281.16,299.4,359.92,289.18,281.1,301.46,351.3,274.52
2023-05-01,324.2,347.65,338.11,359.82,336.28,344.36,305.2,283.82,249.97,298.6,306.94,383.52,305.92,302.04,324.2,363.42,302.89
2023-06-01,347.38,367.66,352.11,374.43,370.6,366.32,325.78,298.83,269.65,319.2,334.86,414.06,331.66,322.86,347.38,373.84,324.16
2023-07-01,372.82,388.18,377.74,387.67,396.18,385.85,351.74,315.27,287.54,355.86,371.58,465.2,349.79,341.35,372.82,408.43,345.81
2023-08-01,413.08,436.53,402.96,425.97,450.99,433.16,389.89,344.18,317.23,383.7,403.21,503.62,367.32,375.99,413.08,435.12,384.85
2023-09-01,462.47,498.14,447.87,491.64,494.1,478.57,423.81,387.7,356.02,440.35,438.08,573.11,421.63,413.31,462.47,505.37,407.03
2023-10-01,505.82,542.75,488.64,547.45,553.32,529.88,449.03,408.16,383.51,481.67,504.74,620.76,468.81,453.3,540.57,439.63,518.12
2023-11-01,565.99,619.9,549.41,601.19,608.83,595.02,507.49,451.77,439.18,545.94,547.38,697.54,516.88,498.27,604.88,475.83,583.95
2023-12-01,685.4,808.44,677.16,698.41,679.67,725.22,606.13,589.04,536.78,632.39,634.46,835.44,581.16,632.43,721.77,557.36,713.61
2024-01-01,834.2,1013.41,831.04,772.56,747.54,871.91,789.71,787.26,626.28,825.58,643.97,1036.67,721.69,857.98,971.0,681.77,854.4
2024-02-01,951.99,1161.94,1008.2,848.47,846.22,937.2,956.24,952.97,747.85,903.43,704.55,1119.34,938.23,981.07,993.87,862.76,969.29
2024-03-01,1077.95,1290.14,1140.57,946.25,997.95,1018.01,1118.08,1033.81,931.42,957.98,963.53,1204.5,1078.86,1079.24,1047.84,1056.08,1087.97
2024-04-01,1183.17,1356.48,1207.2,1004.62,1226.76,1088.33,1263.61,1079.18,1040.49,992.27,1109.09,1278.48,1205.24,1149.54,1070.95,1299.47,1168.88
2024-05-01,1234.95,1421.06,1279.43,1027.21,1285.19,1150.08,1210.39,1135.3,1120.21,1050.65,1177.48,1351.13,1357.15,1199.29,1112.51,1327.76,1228.25
2024-06-01,1294.53,1459.9,1319.98,1060.79,1378.54,1185.86,1262.91,1188.11,1174.86,1097.15,1253.73,1436.93,1516.34,1239.93,1138.84,1441.25,1278.51
2024-07-01,1360.55,1514.8,1407.37,1069.76,1457.36,1198.22,1355.3,1230.44,1221.19,1180.66,1325.88,1570.08,1618.2,1289.02,1264.25,1504.65,1336.72
2024-08-01,1417.46,1562.1,1474.77,1108.85,1520.94,1220.56,1428.94,1341.52,1272.36,1188.21,1405.79,1606.42,1724.28,1336.08,1226.4,1610.71,1394.37
2024-09-01,1474.29,1596.88,1542.07,1171.08,1586.67,1294.56,1500.22,1409.82,1292.74,1249.45,1456.05,1665.15,1843.77,1398.63,,,
2024-10-01,1522.05,1624.04,1603.07,1229.19,1655.37,1337.24,1568.2,1412.5,1315.21,1302.08,1517.72,1742.89,1972.44,1452.13,,,
